,FAA,name,state,city
6813,19NK,Riveredge Airpark,NY,Central Square
6814,7GE5,Sunset Strip,GA,Centralhatchee
6815,WA95,Skyqueen Airport,WA,Centralia
6816,AL27,Headquarters Airport,AL,Centre
6817,MD21,Ashland Landing Farm Airport,MD,Centreville
6818,94MD,Conquest Field,MD,Centreville
6819,FD89,Collier/Pine Barren Airpark,FL,Century
6820,06PA,Freefall Oz Airport,PA,Ceres
6821,US-0534,Gaitros STOL Airport,IL,Cerro Gordo
6822,MY80,Rosenberg Airport,MN,Ceylon
6823,8ND5,Ausk Strip,ND,Chaffee
6824,8ND6,J Vining Airport,ND,Chaffee
6825,US-1116,Cougar Ranch Airport,ID,Challis
6826,US-1175,Marble Creek Airstrip,ID,Challis
6827,US-4030,B Bar C Airport,ID,Challis
6828,US-4032,Castle Creek Road Airport,ID,Challis
6829,24ID,Flying Z Ranch Airport,ID,Challis
6830,0II5,Marshall Field,IN,Chalmers
6831,82LA,Fisher's Field,LA,Chalmette
6832,NM24,Eastside Airport,NM,Chama
6833,SD44,Cook Field,SD,Chamberlain
6834,PA58,Rocktop Airport,PA,Chambersburg
6835,PN08,Davis Airport,PA,Chambersville
6836,IL56,McCulley Airport,IL,Champaign
6837,8NE3,Smith Field,NE,Champion
6838,5CD,Chandalar Shelf Airport,AK,Chandalar Camp
6839,PALR,Chandalar Lake Airport,AK,Chandalar Lake
6840,II32,Raceway Airport,IN,Chandler
6841,US-0922,Grass Strip Airport,OK,Chandler
6842,IL59,Chicago Glider Club Gliderport,IL,Channahon
6843,US-5569,E-501 Aviation Airport,NM,Chaparral
6844,US-7017,4 Delta Airport,NM,Chaparral
6845,3NC9,Womble Field,NC,Chapel Hill
6846,US-1119,Racecar Airport,TN,Chapel Hill
6847,30LL,Williams Airpark,IL,Chapin
6848,8KS8,Prairie Cottage Airport,KS,Chapman
6849,5AL1,Mc Gowin Field,AL,Chapman
6850,6TN1,Weakleys Field,TN,Chapmansboro
6851,TN77,Whifferdill Airport,TN,Chapmansboro
6852,XS68,Sky Lane Ranch Airport,TX,Chappell Hill
6853,TX70,Eberly Ranch Airport,TX,Chappell Hill
6854,7OH8,Curtis Airport,OH,Chardon
6855,2LS2,Chitimacha Air Park,LA,Charenton
6856,US-9327,D&B Airport,VA,Charles City
6857,US-6200,Thompson Flying Service Airport,MO,Charleston
6858,2ME3,Heartstone Farm Airport,ME,Charleston
6859,6AR8,Flying W Airpark II Airport,AR,Charleston
6860,II33,Eickholtz Airport,IN,Charleston
6861,K09M,Charleston Municipal Airport,MS,Charleston
6862,US-7843,Browns Airport,MS,Charleston
6863,US-3270,Dvoracek Field,MI,Charlevoix
6864,49G,Wend Valley Airport,MI,Charlotte
6865,MI11,Crippen Field,MI,Charlotte
6866,ME06,Flying Ed Airport,ME,Charlotte
6867,VT12,E.A.Deeds Farm Airport,VT,Charlotte
6868,US-0651,El Tesoro Ranch Airport,TX,Charlotte
6869,28AR,Henley Aerodrome,AR,Charlotte
6870,66IN,Oakes Field,IN,Charlottesville
6871,VA19,Snow Hill Airport,VA,Charlottesville
6872,MA30,Dresser Hill Airport,MA,Charlton
6873,0NK2,Westwind Farm Airport,NY,Charlton
6874,VA25,Twin Towers Airport,VA,Chase City
6875,1VA8,Hazelswart Airport,VA,Chase City
6876,79MI,Pike River Landing,MI,Chassell
6877,39LA,Whitaker Ultralightport,LA,Chataignier
6878,2C4,Flying A Airport,MN,Chatfield
6879,69OI,Schulze's Airport,OH,Chatfield
6880,1XA8,Hackberry Airport,TX,Chatfield
6881,US-8592,Chatham Airport,MI,Chatham
6882,NJ20,Coyle Field,NJ,Chatsworth
6883,5NK0,Salubrious Point Airport,NY,Chaumont
6884,44KY,Duff Airport,KY,Chavies
6885,K0F7,Fountainhead Lodge Airpark,OK,Checotah
6886,0WA1,Dwight Field,WA,Chehalis
6887,0WA2,Curtis Airport,WA,Chehalis
6888,50WA,Hartley Airport,WA,Chehalis
6889,FA99,Fantasy Field Airstrip,WA,Chehalis
6890,WT03,River View Airpark,WA,Chelan
6891,US-4218,Mynning Airport,MI,Chelsea
6892,OK78,Delozier Airport,OK,Chelsea
6893,AK13,Chena Hot Springs Airport,AK,Chena Hot Springs
6894,WT24,Reed Airport,WA,Cheney
6895,WT04,Silverbird Airport,WA,Cheney
6896,11WA,Homeport Airport,WA,Cheney
6897,WA49,Flying R Ranch Airport,WA,Cheney
6898,WA62,Paradise Air Ranch Airport,WA,Cheney
6899,SN13,Albers Airport,KS,Cheney
6900,0KS7,Mono Aircraft Airport,KS,Cheney
6901,US-6593,Vaughan Airport,LA,Cheneyville
6902,IL63,Mays Aviation Airport,IL,Chenoa
6903,SC61,Wild Irish Rose Airport,SC,Cheraw
6904,US-12664,J Ranch Airport,TX,Cherokee
6905,4AR5,Lawrence Field,AR,Cherry Valley
6906,US-8799,Imboden Airport,AR,Cherry Valley
6907,1NC9,Northbrook International Ultraport Ultralightport,NC,Cherryville
6908,US-6990,Laughing Crow Airpark,NC,Cherryville
6909,MI83,Maple Grove Airpark,MI,Chesaning
6910,50G,Howard Nixon Memorial Airport,MI,Chesaning
6911,WV08,Island Airport,WV,Chesapeake
6912,MD03,Woodstock Airport,MD,Chesapeake City
6913,SC88,Turner Field,SC,Chesnee
6914,US-6893,Paradise Landing,SC,Chesnee
6915,VT13,Holloway Airport,VT,Chester
6916,OK72,Trust Landing Airport,OK,Chester
6917,NH61,Heaton Airport,NH,Chester
6918,B70,Tiber Dam Airport,MT,Chester
6919,NE35,Sutton Airport,NE,Chester
6920,IN70,Bodin Airport,IN,Chesterton
6921,05MD,Breezecroft Airport,MD,Chestertown
6922,0MD4,Pond View Private Airport,MD,Chestertown
6923,MD11,Wright Field,MD,Chestertown
6924,MD19,Hybarc Farm Airport,MD,Chestertown
6925,MD59,Silver Hill Airport,MD,Chestertown
6926,MD63,Cromwell Farm Airport,MD,Chestertown
6927,MD66,Smith Field,MD,Chestertown
6928,WS13,Cloud Dancer Private Airport,WI,Chetek
6929,3WN6,Knutson Farms Airport,WI,Chetek
6930,WY46,Radio Ranch Airport,WY,Cheyenne
6931,WY05,Skyview Airpark,WY,Cheyenne
6932,K93F,Mignon Laird Municipal Airport,OK,Cheyenne
6933,US-6642,Rowdys Airport,CO,Cheyenne Wells
6934,5CO0,Windy Plains Airport,CO,Cheyenne Wells
6935,AR05,John Harris Field,AR,Chickala
6936,US-0893,Twin Forks Airport,GA,Chickamauga
6937,OK60,Drifting G Ranch Airport,OK,Chickasha
6938,US-1044,Good Life Ranch Airport,OK,Chickasha
6939,6OK2,Redhills Airport,OK,Chickasha
6940,XA07,Spectre Airport,TX,Chico
6941,69XA,Richey Airfield,TX,Chico
6942,4CA7,Johnsen Airport,CA,Chico
6943,US-5748,Porter Flying Services Airport,CA,Chico
6944,US-9303,Steele Airport,CA,Chico
6945,87PA,Waltman Airport,PA,Chicora
6946,51FL,Chiefland Sky Ranch Airport,FL,Chiefland
6947,6FD0,Windy Acres Airport,FL,Chiefland
6948,73FD,Brookins Air Strip,FL,Chiefland
6949,79FL,Neal Field,FL,Chiefland
6950,FA36,White Farms Airport,FL,Chiefland
6951,69KS,Chiles Airpark,KS,Chiles
6952,VA11,White Oak Stand Airport,VA,Chilhowie
6953,US-2022,Catron Field,VA,Chilhowie
6954,11Y,Flying Feathers Airport,WI,Chilton
6955,NC29,Bradley Field,NC,China Grove
6956,04TX,Pocock Airport,TX,China Spring
6957,3T8,Wildcat Canyon Airport,TX,China Spring
6958,4TA2,V-Bar Airport,TX,China Spring
6959,59AZ,Robin STOLport,AZ,Chino Valley
6960,4U4,Maddox Ranch Co Airport,MT,Chinook
6961,FD94,Hartzog Field,FL,Chipley
6962,US-4247,Sids Strip,FL,Chipley
6963,WI32,T-Bo Field Airport,WI,Chippewa Falls
6964,3WN8,Blunt Field,WI,Chippewa Falls
6965,20XS,Klutts Field,TX,Chisholm
6966,CZO,Chistochina Airport,AK,Chistochina
6967,NM51,Chloride Airport,NM,Chloride
6968,OL32,Flat Rock Field,OK,Chouteau
6969,67CA,Chapman Farms Airport,CA,Chowchilla
6970,US-5871,Agriland Airport,CA,Chowchilla
6971,US-5872,O'Flanagan Airport,CA,Chowchilla
6972,OG06,Table Rock Airport,OR,Christmas Valley
6973,96TX,Brown Field,TX,Christoval
6974,04TN,Hensley Airpark,TN,Chuckey
6975,WY29,Vowers Ranch Airport,WY,Chugwater
6976,6FD2,Big Oaks Ranch Airport,FL,Chuluota
6977,45TN,Darnell's Landings Airport,TN,Church Hill
6978,77TN,Darnell's Field,TN,Church Hill
6979,MD23,Kennersley Airport,MD,Church Hill
6980,MD62,Church Hill Airport,MD,Church Hill
6981,MD91,Saxon Farms Airport,MD,Church Hill
6982,27MD,Myles Landing Airport,MD,Church Hill
6983,US-0581,Lost Airfield,LA,Church Point
6984,US-6229,Saint Margaret Airport,LA,Church Point
6985,6LA5,Church Point Flyers Airport,LA,Church Point
6986,US-8119,Resler Airport,IN,Churubusco
6987,9IN8,Green Field,IN,Churubusco
6988,US-3324,Forestdale Landing Strip,AZ,Cibecue
6989,1G6,Michael Airfield,NY,Cicero
6990,18II,Mc Gill Airport,IN,Cicero
6991,3IN9,Thomas Airport,IN,Cicero
6992,8K8,Cimarron Municipal Airport,KS,Cimarron
6993,K4U6,Circle Town County Airport,MT,Circle
6994,CHP,Circle Hot Springs Airport,AK,Circle Hot Springs
6995,38OI,Ronshausen Airport,OH,Circleville
6996,63OH,White's Airport,OH,Circleville
6997,UT42,Westwater Airport,UT,Cisco
6998,US-5300,Cisco Airport,UT,Cisco
6999,US-5367,Steamboat Mesa Airstrip,UT,Cisco
7000,48XA,Spring Ranch Airport,TX,Cisco
7001,9FD5,Thompson's Goinbroke Aero Ranch Airport,FL,Citra
7002,FD14,Paniola Air Ranch Airport,FL,Citra
7003,01AL,Ware Island Airport,AL,Clanton
7004,66MN,Howard's Airport,MN,Clara City
7005,99MI,Denton Farms Airport,MI,Clare
7006,K11,Sam Riggs Airpark,OK,Claremore
7007,OK20,Sageeyah Airfield,OK,Claremore
7008,US-4524,Trusty Ranch Airport,OK,Claremore
7009,NK19,Potoczak Airport,NY,Clarence Center
7010,NK87,Merkle Airport,NY,Clarence Center
7011,KE34,Smiley Johnson Municipal Airport Bass Field,TX,Clarendon
7012,US-1957,Yaw-Hoo Field,IA,Clarinda
7013,KCAV,Clarion Municipal Airport,IA,Clarion
7014,PS66,Parker-Cramer Airport,PA,Clarion
7015,ID01,CX Ranch Number 1 Airport,ID,Clark Fork
7016,ID32,Tuka STOLport,ID,Clark Fork
7017,ID75,Riverlake Airport,ID,Clark Fork
7018,ID78,CX Ranch Number 2 Airport,ID,Clark Fork
7019,GA67,King Sky Ranch Airport,GA,Clarkesville
7020,ID33,Stocking Meadows Airport,ID,Clarkia
7021,US-5802,Harding Flying Services Airport,CA,Clarksburg
7022,WV28,Ruth Field STOLport,WV,Clarksburg
7023,02CD,Shannon Field,MS,Clarksdale
7024,MS09,Glidwell Flying Service Airport,MS,Clarksdale
7025,66KY,Mc Grew Airport,KY,Clarkson
7026,US-8139,Ponderosa Airport,MT,Clarkston
7027,5FD1,Ron Wood Airport,FL,Clarksville
7028,74FD,Clarksville Airport,FL,Clarksville
7029,KLBR,Clarksville Red River City-J D Trissell Field,TX,Clarksville
7030,19TN,Ferraraccio Field,TN,Clarksville
7031,36TN,Ruckman Field,TN,Clarksville
7032,TN23,Titan Field,TN,Clarksville
7033,TN53,Parr Field,TN,Clarksville
7034,1E6,Elkins Field,NC,Clarkton
7035,5TA4,Reed Airport,TX,Claude
7036,57NM,Monte Prieto Ranch Airport,NM,Claunch
7037,US-8045,Camp Oliver Airfield,GA,Claxton
7038,US-8047,Remagen Airstrip,GA,Claxton
7039,1H1,Airlane Enterprises Airport,NY,Clay
7040,SN33,Callaway Airpark,KS,Clay Center
7041,US-7573,Pumpkin Field,KY,Clay City
7042,PS67,Uphill Airport,PA,Claysville
7043,68PN,Narrigan Grass Strip,PA,Claysville
7044,28NK,Ritchie Airfield,NY,Clayton
7045,37LA,Wayne Brown Airport,LA,Clayton
7046,US-0839,Wedding Cake Ranch Airport,NM,Clayton
7047,GA18,Big Creek Flying Ranch Airport,GA,Clayton
7048,23DE,Full Throttle Farm Airport,DE,Clayton
7049,C72,Cross Winds Airport,WA,Clayton
7050,US-8194,Red Pine Grove Airport,ME,Clayton Lake
7051,ME19,Clayton Lake Strip,ME,Clayton Lake
7052,US-6903,Clear Sky Lodge West Airport,AK,Clear
7053,US-6905,Rochester Lodge Airport,AK,Clear
7054,US-6907,Clear Sky Lodge Southwest Airport,AK,Clear
7055,5H3,Clear Lake Municipal Airport,SD,Clear Lake
7056,2MY4,Miller Airport,MN,Clear Lake
7057,US-4328,Plain Ol' Field,IA,Clear Lake
7058,US-4007,Rathburn Mine Airport,CA,Clearlake Oaks
7059,39TT,Sugar Creek Field,TX,Cleburne
7060,US-1912,Goatneck Airport,TX,Cleburne
7061,TX46,Blackwood Airpark,TX,Cleburne
7062,2MD1,Recompense Farm Airport,MD,Clements
7063,4MD4,Clements Airport,MD,Clements
7064,ND89,Mutschler Field,ND,Clementsville
7065,NC32,Rivercliff Airport,NC,Clemmons
7066,OL25,Eagle Chief Airport,OK,Cleo Springs
7067,GA09,Fly-N-S Ranch Airport,GA,Clermont
7068,21FL,Kings Field,FL,Clermont
7069,0GE5,Mountain Airpark,GA,Cleveland
7070,21GE,Deer Crossing Airport,GA,Cleveland
7071,0NC8,Flying S Ranch Airport,NC,Cleveland
7072,US-8802,Columbus Air Service Airport,MS,Cleveland
7073,MO98,Williams Airport,MO,Cleveland
7074,SC78,King Field,SC,Cleveland
7075,06TE,Ainsworth Airport,TX,Cleveland
7076,0TS5,Lake Bay Gall Airport,TX,Cleveland
7077,US-3914,Whisky Branch Airport,TX,Cleveland
7078,US-4354,Tarkington Woods Airport,TX,Cleveland
7079,42TT,Duke International Airport,TX,Cleveland
7080,US-5895,Alico Ranch Airport,FL,Clewiston
7081,US-5896,The Florida Ridge Airsports Park,FL,Clewiston
7082,0FL9,Mc Daniel Ranch Inc. Airport,FL,Clewiston
7083,2FA4,Southern Ranch Airport,FL,Clewiston
7084,3PN1,Ashlawn Airport,PA,Clifford
7085,3NA0,Erickson Airport,ND,Clifford
7086,89XA,Hidden Ridge Ranch Airport,TX,Clifton
7087,US-0018,Flying B Ranch Airport,TX,Clifton
7088,TX48,Talley Airport,TX,Clifton
7089,US-0936,Double Circle Ranch Airport,AZ,Clifton
7090,4LL4,Enjoy Field,IL,Clifton
7091,IL81,Berns Airport,IL,Clifton
7092,12VA,Hop-Along Airport,VA,Clifton Forge
7093,US-6788,Coldbrook Field,MI,Climax
7094,US-4985,Vada Airport,GA,Climax
7095,US-8536,Lewis Ag Aviation Airport,GA,Climax
7096,MO99,Miller Airport,MO,Climax Springs
7097,MU11,Eagle's Landing Airport,MO,Climax Springs
7098,US-0583,Rancho San Lorenzo Airport,TX,Clint
7099,3WI6,Melin Farms Airport,WI,Clinton
7100,37MS,P2 Landing Airport,MS,Clinton
7101,39MS,Benton Farms Airport,MS,Clinton
7102,RC0,Rock Creek Airport,MT,Clinton
7103,88PA,Mc Coy Airport,PA,Clinton
7104,MI70,Carl's Airport,MI,Clinton
7105,4LA8,Overton Private Airport,LA,Clinton
7106,LA83,McCutcheon Field,LA,Clinton
7107,0MO0,Ferros Ranch-Aero Airport,MO,Clinton
7108,MI52,Markham Airport,MI,Clinton
7109,IL82,Martin RLA Restricted Landing Area,IL,Clinton
7110,33IL,John Scharff Airport,IL,Clinton
7111,0KY7,Clinton-Hickman County Airport,KY,Clinton
7112,US-4951,Caney Ridge Airport,VA,Clintwood
7113,9W9,Clio Crop Care Airport,SC,Clio
7114,51G,Alkay Airport,MI,Clio
7115,MI05,Crompton's Private Strip,MI,Clio
7116,MY94,Country Haven Airport,MN,Cloquet
7117,US-3241,Little River Landing Strip,LA,Cloutierville
7118,US-6856,Little Eva Plantation Airport,LA,Cloutierville
7119,39SC,Rizzy Ridge Airport,SC,Clover
7120,IN88,Sanders Gyroport Airport,IN,Cloverdale
7121,II07,Clover Knoll Airport,IN,Cloverdale
7122,NM42,Aero Tech Inc Airport,NM,Clovis
7123,CL24,Kindsvater Ranch Airport,CA,Clovis
7124,US-0449,Lakeview Airport,KY,Club Run
7125,4XA3,Owen Field,TX,Clyde
7126,US-7597,Scott Airport,TX,Clyde
7127,US-4853,Pine View Airport,NY,Clyde
7128,US-4073,Crazy Mountain Ranch Airport,MT,Clyde Park
7129,PS39,Downes Airport,PA,Clymer
7130,US-5456,Coaldale Airport,NV,Coaldale
7131,US-5457,Coaldale Junction Airport,NV,Coaldale
7132,08F,City of Coalgate Airport,OK,Coalgate
7133,4OI9,Baisden Airport,OH,Coalton
7134,38UT,Hoytsville Airport,UT,Coalville
7135,OG48,Greer Airport,OR,Coburg
7136,OR45,West Point Airport,OR,Coburg
7137,US-2522,Sunland Farms Airport,AZ,Cochise
7138,US-4494,The Farm Airport,PA,Cochranton
7139,2WY8,Bar Flying E Airport,WY,Cody
7140,WY06,Luckinbill Airstrip,WY,Cody
7141,15ID,Scanlon Airport,ID,Coeur D Alene
7142,6ID1,Regan Ranch Airport,ID,Coeur d'Alene
7143,ID43,Carlin Bay Airport,ID,Coeur D'Alene
7144,ID65,Driftwood Air Ranch Airport,ID,Coeur D'Alene
7145,MS54,Burney Farms Airport,MS,Coffeeville
7146,ND90,Dahl Private Airport,ND,Cogswell/Brampton/
7147,04MT,Pluhar Airport,MT,Cohagen
7148,8OH3,J and B Sky Ranch Airport,OH,Coitsville
7149,KU06,Cokeville Municipal Airport,WY,Cokeville
7150,WY32,Circle B Airport,WY,Cokeville
7151,63WA,Boyle R & D Airport,WA,Colbert
7152,US-0390,Sunshine Acres Airport,WA,Colbert
7153,KCBK,Shalz Field,KS,Colby
7154,CT07,Skis Landing Area Airport,CT,Colchester
7155,75XA,Rocking B Cattle Airport,TX,Coldspring
7156,US-7828,Beeley Aviation-Propane Airport,KS,Coldwater
7157,US-7829,Seacat Brothers Airpoprt,KS,Coldwater
7158,7MS3,Maidment Field,MS,Coldwater
7159,4C4,Gifford Field,NH,Colebrook
7160,US-5132,Wings As Eagles Airport,TX,Coleman
7161,5WI8,Ermis-Ridgeview Airport,WI,Coleman
7162,US-0964,Ranch at Double Gates Airport,TX,Coleman
7163,43WI,Eagle Ridge Ultralightport,WI,Colfax
7164,00W,Lower Granite State Airport,WA,Colfax
7165,KS94,Port of Whitman Business Air Center Airport,WA,Colfax
7166,US-3244,Keystone Farms Airport,LA,Colfax
7167,PA61,Kunda Airport,PA,Collegeville
7168,01TN,Colonial Air Park,TN,Collierville
7169,TN70,Burkeen Field,TN,Collierville
7170,54TN,Argonaut Airstrip,TN,Collierville
7171,US-7402,Ora Airport,MS,Collins
7172,MU69,Peterman Airport,MO,Collins
7173,US-7424,Sikes Farm Airport,GA,Collins
7174,T32,Sudden Stop Airport,TX,Collinsville
7175,OK58,Bluestem Airport,OK,Collinsville
7176,OK93,Airman Acres Airport,OK,Collinsville
7177,OK94,Sand Ridge Airpark Inc Airport,OK,Collinsville
7178,US-4492,Pfeiffer Field,OH,Collinsville
7179,09OK,Ragtime Aerodrome,OK,Collinsville
7180,WS09,Rox Airport,WI,Coloma
7181,9WN9,Coloma Municipal Airport,WI,Coloma
7182,US-3142,Greenhorn Strip,CO,Colorado City
7183,31CD,Diamond Star Ranch Airport,CO,Colorado City
7184,KCR,Colorado Creek Airport,AK,Colorado Creek
7185,US-6541,Double R Flying Service Airport,GA,Colquitt
7186,7AR3,Runsick Flying Service Airport,AR,Colt
7187,US-9029,Morris Airport,AR,Colt
7188,US-8960,Flying Hog Farm Airport,AL,Columbia
7189,80SD,Comstock Field,SD,Columbia
7190,06TN,Hunter Airport,TN,Columbia
7191,51TN,Glendale Field,TN,Columbia
7192,8N7,Mc Ginness Airport,PA,Columbia
7193,46VA,Byrd Creek Airport,VA,Columbia
7194,US-9076,Rassawek Airstrip,VA,Columbia
7195,I96,Columbia-Adair Co. Airport,KY,Columbia
7196,7IS9,King Airport,IL,Columbia
7197,5MS3,Porter Airport,MS,Columbia
7198,9MS9,Beets Airport,MS,Columbia
7199,87NR,Columbia Airstrip,NC,Columbia
7200,67NJ,Mount Pleasant Landing Strip,NJ,Columbia
7201,09IN,Gordon Airport,IN,Columbia City
7202,29IN,Homestead Airport,IN,Columbia City
7203,3IG3,Terry's Airport,IN,Columbia City
7204,PN54,AKM Airfield,PA,Columbia Cross Roads
7205,MT18,Torres Airport,MT,Columbia Falls
7206,VA93,Ayers Airport,VA,Columbia Furnace
7207,05OI,Dorlon Airpark,OH,Columbia Station
7208,9OA8,Crocker Airport,OH,Columbia Station
7209,1AL2,Tri-L Acres Airport,AL,Columbiana
7210,82OI,J-Em Farm Airport,OH,Columbus
7211,91IN,Strietelmeier Flying Field,IN,Columbus
7212,6WN6,Fountain Prairie Airport,WI,Columbus
7213,49MT,Firebuster Airport,MT,Columbus
7214,0NM0,Columbus Airport,NM,Columbus
7215,NM09,First Aero Squadron Airpark,NM,Columbus
7216,NM78,Hacienda Sur Luna Airport,NM,Columbus
7217,US-7724,Sturley Airport,NM,Columbus
7218,6NA0,Strom Private Airport,ND,Columbus
7219,D49,Columbus Municipal Airport,ND,Columbus
7220,US-4081,Columbus Airport,NV,Columbus
7221,US-8396,Lenox Airport,MI,Columbus
7222,67CL,Davis Airport,CA,Colusa
7223,US-5747,Martins Dusters Airport,CA,Colusa
7224,US-5779,Miller Airport,CA,Colusa
7225,US-5780,Carter Airport,CA,Colusa
7226,US-5781,Formanos Dusters Airport,CA,Colusa
7227,IL84,Douglas Airport,IL,Colusa
7228,US-7371,Johnson Airport,WA,Colville
7229,WA72,Zema Private Airport,WA,Colville
7230,WA73,Smith Airport,WA,Colville
7231,OK11,Ksa Orchards Airport,OK,Comanche
7232,US-4741,Wildlife Ranch Airport,OK,Comanche
7233,US-5917,Privilege Creek Ranch Airport,TX,Comfort
7234,XS80,Scout Airport,TX,Comfort
7235,US-3655,Oak Ridge Airport,TX,Comfort
7236,02GA,Doug Bolton Field,GA,Commerce
7237,US-0075,Silver Heels Airport,CO,Como
7238,C82,Bresson Airport,IL,Compton
7239,IL87,W Davis Airport,IL,Compton
7240,IL88,Earl Barnickel Airport,IL,Compton
7241,US-5912,Seminole Canyon Airport,TX,Comstock
7242,US-6146,Dead Mans Canyon Airport,TX,Comstock
7243,0WI1,Mort's Landing Airport,WI,Comstock
7244,03NE,Hyde Ranch Airport,NE,Comstock
7245,US-2484,Grass Patch Springs Airport,TX,Comstock
7246,US-2486,Grey Canyon Airport,TX,Comstock
7247,US-4726,Pecos Valley Wildlife Management Club Airport,TX,Comstock
7248,0TE0,Robertson Ranch Airport,TX,Comstock
7249,MD77,Flying M Farms Airport,MD,Comus
7250,US-6737,Griffith Ranch Airport,TX,Concan
7251,XS50,4G Ranch Airport,TX,Concepcion
7252,KE89,Conchas Lake Airport,NM,Conchas Dam
7253,4NC8,Buffalo Creek Airport,NC,Concord
7254,70NH,Surette Heliport,NH,Concord
7255,NC19,Propst Airport,NC,Concord
7256,NC77,Chalfant Airport,NC,Concord
7257,VA24,Skovhus Airport,VA,Concord
7258,GA75,Meadowlark Airport,GA,Concord
7259,1GE5,Flying D Airport,GA,Concord
7260,4GA1,Thacker Field,GA,Concord
7261,GA68,Flying H Ranch Airport,GA,Concord
7262,GA73,Shade Tree Airport,GA,Concord
7263,GA74,Takle Field,GA,Concord
7264,SD49,Hite Private Airport,SD,Conde
7265,S04,Condon USFS Airport,MT,Condon
7266,OR46,Ajax Airport,OR,Condon
7267,US-8353,Mountain Views Airport,OR,Condon
7268,36OH,Wright's Field,OH,Conesville
7269,05OH,Eaglecrest Field,OH,Conesville
7270,US-2648,Moore Ranch Airstrip,AZ,Congress
7271,US-3870,R/A Ranch Airfield,AZ,Congress
7272,02OI,Murtha Airport,OH,Conneaut
7273,WA14,Connell City Airport,WA,Connell
7274,US-7456,Elk Meadows River Ranch Airport,MT,Conner
7275,73II,Nulltown Wingnuts Ultralightport,IN,Connersville
7276,US-1277,Dungan Airport,IN,Connersville
7277,OL37,Cooper Coles Ranch Airport,OK,Connerville
7278,6MD4,Pembroke Farm Airport,MD,Conowingo
7279,TT75,Berkley Ranch Airport,TX,Conroe
7280,US-8169,Chennault Airfield,TX,Conroe
7281,16XS,Outlaw Flyers Airport,TX,Conroe
7282,34XS,Flying Hare Field Airport,TX,Conroe
7283,NK04,Shepard Airport,NY,Constantia
7284,36OI,Verhoff Airport,OH,Continental
7285,LA36,Whitehall Field Ultralightport,LA,Convent
7286,12A,Arkavalley Airport,AR,Conway
7287,AR88,Poe's Airport,AR,Conway
7288,27WA,J C's Airport,WA,Conway
7289,SN36,Wamsley Field,KS,Conway Springs
7290,GA80,Whispering Pines Airport,GA,Conyers
7291,36GA,Lola Landing Airport,GA,Conyers
7292,5TN9,One Grand Field,TN,Cookeville
7293,TN80,Schiff Airport,TN,Cookeville
7294,US-1226,Holder Field,TN,Cookeville
7295,OK06,Snake Creek Wilderness Airport,OK,Cookson
7296,WI98,Blackburn Airport,WI,Cooksville
7297,37AZ,Sarita Airport,AZ,Coolidge
7298,16IA,Stangl Airport,IA,Coon Rapids
7299,7MI7,Walker Airport,MI,Cooper
7300,3TS9,Oak Glen Ranch Airport,TX,Cooper
7301,JLA,Quartz Creek Airport,AK,Cooper Landing
7302,9WI2,Flying Dollar Ranch Airport,WI,Cooperstown
7303,3NK8,B Flat Farm Airport,NY,Copake
7304,PA65,Hi-Vu Airport,PA,Coplay
7305,US-2931,Francen Private Airstrip,AK,Copper River
7306,US-3982,Sky Valley Ranch Airport,CA,Copperopolis
7307,45OR,Gederos Airport,OR,Coquille
7308,OR50,Lehman Field,OR,Corbett
7309,US-3065,South Lake Farms Airport,CA,Corcoran
7310,24CL,Boswell Airport,CA,Corcoran
7311,42MN,Kral's Personal Use Landing Field,MN,Corcoran
7312,US-7918,Donald Coleman Farms Airport,AR,Cord
7313,22TE,Fenner Ranch Airport,TX,Cordele
7314,00AZ,Cordes Airport,AZ,Cordes
7315,AK30,Strawberry Point Airport,AK,Cordova
7316,1DS,Dry Swamp Airport,SC,Cordova
7317,US-4711,Promontory Point Intermediate Field,UT,Corinne
7318,MS18,Dilworth Airport,MS,Corinth
7319,40IL,Antique Aerodrome,IL,Cornell
7320,6NY1,Old Port Royal Airport,NY,Corning
7321,PA17,Canaan Field,NY,Corning
7322,US-7819,Rick Milbrant Airport,AR,Corning
7323,US-7820,Fox Farms Airport,AR,Corning
7324,US-8683,Rice Field,AR,Corning
7325,US-3979,Canal View Airport,CA,Corning
7326,WI23,Cornucopia Field,WI,Cornucopia
7327,NM25,Lincoln Station Airport,NM,Corona
7328,2NM9,High Desert Ranch Airport,NM,Corona
7329,07TE,Cuddihy Field,TX,Corpus Christi
7330,26IA,Midway View Farms Airport,IA,Correctionville
7331,TA43,Anderosa Airpark,TX,Corrigan
7332,D65,Corsica Municipal Airport,SD,Corsica
7333,4XS1,Coyote Field,TX,Corsicana
7334,6TX6,JTJ Ranch Airport,TX,Corsicana
7335,90TE,The Homestead Airport,TX,Corsicana
7336,TA05,Anxiety Aerodrome,TX,Corsicana
7337,TX51,Smith Airport,TX,Corsicana
7338,CO27,Tanner Field,CO,Cortez
7339,US-7144,Marshall Farms Airport,IL,Cortland
7340,8OH5,Urban Airport,OH,Cortland
7341,8OI3,Allen Airport,OH,Cortland
7342,US-0903,Oldstown Flying Tails Airport,OH,Cortland
7343,US-4504,Millstream Airpark,MI,Corunna
7344,OG49,Coca Cola Airport,OR,Corvalis
7345,4OR4,Schrock Airport,OR,Corvallis
