,FAA,name,state,city
4731,1CO8,Everitt Airport,CO,Parker
4732,IN30,Hull Airport,IN,Patoka
4733,1Y9,Paullina Municipal Airport,IA,Paullina
4734,KH76,Pawhuska Municipal Airport,OK,Pawhuska
4735,H97,Pawnee Municipal Airport,OK,Pawnee
4736,XS71,San Christoval Ranch Airport,TX,Pawnee
4737,50K,Pawnee City Municipal Airport,NE,Pawnee City
4738,KPEX,Paynesville Municipal Airport,MN,Paynesville
4739,3AZ5,Hualapai Airport,AZ,Peach Springs
4740,US-0974,Bemaroy Airport,TX,Pear Valley
4741,47Y,Pelican Rapids Muni-Lyon's Field,MN,Pelican Rapids
4742,K6J0,Lexington County Airport,SC,Pelion
4743,WV77,Hinton-Alderson Airport,WV,Pence Springs
4744,26MA,Pepperell Airport,MA,Pepperell
4745,8MN3,Breezy Point Airport,MN,Pequot Lakes
4746,FA29,Lumar Field,FL,Perry
4747,KPRO,Perry Municipal Airport,IA,Perry
4748,KPYX,Perryton Ochiltree County Airport,TX,Perryton
4749,IN35,Shinn Bone Lane Airport,IN,Peru
4750,US-0506,Dean Schwenk RLA Airport,IL,Pesotum
4751,4MI1,Air Rahe Airport,MI,Petersburg
4752,MI48,Ham-A-Lot Field,MI,Petersburg
4753,MS96,Barrett Field,MS,Philadelphia
4754,TN09,Fergusons Flying Circus Airport,TN,Philadelphia
4755,K79D,Philippi Barbour County Regional Airport,WV,Philippi
4756,KU05,Riddick Field,MT,Philipsburg
4757,KPHG,Phillipsburg Municipal Airport,KS,Phillipsburg
4758,ID82,Picabo Airport,ID,Picabo
4759,81NM,Diamond A Ranch Airport,NM,Picacho
4760,7M7,Piggott Municipal Airport,AR,Piggott
4761,US-1440,Red Creek Airstrip,AZ,Pine
4762,1U9,Pine Airport,ID,Pine
4763,MY89,Pavek Personal Airport,MN,Pine City
4764,7CL9,Perryman Airport,CA,Placerville
4765,5MO,Plattsburg Airpark,MO,Plattsburg
4766,KM70,Pocahontas Municipal Airport,AR,Pocahontas
4767,K22M,Pontotoc County Airport,MS,Pontotoc
4768,05CL,Pope Valley Airport,CA,Pope Valley
4769,KM13,Poplarville Pearl River County Airport,MS,Poplarville
4770,17LS,Yankee Field,LA,Port Barre
4771,09PA,Eagle Field,PA,Port Matilda
4772,72TA,Pierce Field,TX,Port O'Connor
4773,18HI,Brandt Field,HI,Port Saint Joe
4774,9R5,Hunt Airport,TX,Portland
4775,K5F1,Post Garza County Municipal Airport,TX,Post
4776,ID07,Nichols Ranch Airport,ID,Post Falls
4777,2B9,Post Mills Airport,VT,Post Mills
4778,K8WC,Washington County Airport,MO,Potosi
4779,US-5176,Dudes Landing Airport,MO,Prairie Home
4780,K5N2,Prentice Airport,WI,Prentice
4781,3TE4,Hot Springs Airport,TX,Presidio
4782,K2M0,Princeton-Caldwell County Airport,KY,Princeton
4783,7CO8,West Pueblo Airport,CO,Pueblo West
4784,HI46,HI 23 (Puhi) Airstrip,HI,Puhi
4785,US-1306,Quartzsite Airport,AZ,Quartzsite
4786,NM80,Quemado Airport,NM,Quemado
4787,50XS,Hughes Ranch Airport,TX,Quemado
4788,K80T,Quincy Municipal Airport,WA,Quincy
4789,T14,Taylor Airport,TX,Quinlan
4790,K5W4,P K Airpark,NC,Raeford
4791,FL28,State Prison Field,FL,Raiford
4792,WV30,Rainelle Airport,WV,Rainelle
4793,8WA0,Flying B Airport,WA,Rainier
4794,K5W5,Triple W Airport,NC,Raleigh
4795,NM36,Candy Kitchen Ranch Airport,NM,Ramah
4796,NC13,Yorks Field,NC,Ramseur
4797,WN55,Randle-Kiona Airpark,WA,Randle
4798,TA25,Cook Canyon Ranch Airport,TX,Ranger
4799,92XS,T R Funk Inc Airport,TX,Raymondville
4800,NY42,Paradise Airport,NY,Red Creek
4801,3OR8,Cline Falls Air Park,OR,Redmond
4802,US-2432,Flying Alpaca Airport,OR,Redmond
4803,KRCT,Nartron Field,MI,Reed City
4804,VA98,Reedville Airport,VA,Reedville
4805,NY94,Old Rhinebeck Aerodrome,NY,Rhinebeck
4806,SD36,Booth Ranch Airport,SD,Ridgeview
4807,48AZ,Rimrock Airport,AZ,Rimrock
4808,4S6,Tieton State Airport,WA,Rimrock
